_id,name,short_name
1,Ingeniería,ING
2,Ciencias Sociales,CCSS
3,Ciencias y Humanidades,CCHH
4,Educación,EDU
5,Design Innovation & Arts School,DI&A
6,Business and Management School,BMS
7,Colegio Universitario,CUAE
8,Arquitectura,ARQ
